word,variant,frequency,category,affix_type,replacement,number
batsmanships,batsmanships,,manship,suffix,batting skills,PL
brinkmanship,brinkmanship,,manship,suffix,extreme strategy,SG
brinkmanships,brinkmanships,,manship,suffix,extreme strategies,PL
brinksmanship,brinksmanship,,manship,suffix,extreme strategy,SG
brinksmanships,brinksmanships,,manship,suffix,extreme strategies,PL
chairmanship,chairmanship,,manship,suffix,chairpersonship,SG
chairmanships,chairmanships,,manship,suffix,chairpersonships,PL
churchmanships ,churchmanships ,,manship,suffix,churchpersonships,PL
churchmanship ,churchmanship ,,manship,suffix,churchpersonship,SG
craftmanship,craftmanship,,manship,suffix,craftpersonship,SG
craftmanships,craftmanships,,manship,suffix,craftpersonships,PL
craftsmanship,craftsmanship,,manship,suffix,craftspersonship,SG
craftsmanships,craftsmanships,,manship,suffix,craftspersonships,PL
draftsmanship,draftsmanship,,manship,suffix,draftspersonship,SG
draftsmanships,draftsmanships,,manship,suffix,draftspersonships,PL
draughtsmanship,draughtsmanship,,manship,suffix,draughtspersonship,SG
draughtsmanships,draughtsmanships,,manship,suffix,draughtspersonships,PL
foremanship,foremanship,,manship,suffix,forepersonship,SG
foremanships,foremanships,,manship,suffix,forepersonships,PL
gamesmanship,gamesmanship,,manship,suffix,unsporting tactic,SG
gamesmanships,gamesmanships,,manship,suffix,unsporting tactics,PL
gentlemanship,gentlemanship,,manship,suffix,refinedness,SG
gentlemanships,gentlemanships,,manship,suffix,refinednesses,PL
grantsmanship,grantsmanship,,manship,suffix,grant acquisition expertise,SG
grantsmanships,grantsmanships,,manship,suffix,grant acquisition expertises,PL
handcraftsmanship,handcraftsmanship,,manship,suffix,handcraftspersonship,SG
handcraftsmanships,handcraftsmanships,,manship,suffix,handcraftspersonships,PL
horsemanship,horsemanship,,manship,suffix,equestrian skill,SG
horsemanships,horsemanships,,manship,suffix,equestrian skills,PL
journeymanship,journeymanship,,manship,suffix,artisanship,SG
journeymanships,journeymanships,,manship,suffix,artisanships,PL
manship,manship,,manship,suffix,courage,SG
manships,manships,,manship,suffix,courages,PL
marksmanship,marksmanship,,manship,suffix,sharpshooting skill,SG
marksmanships,marksmanships,,manship,suffix,sharpshooting skills,PL
oarsmanship,oarsmanship,,manship,suffix,rowing skill,SG
oarsmanships,oarsmanships,,manship,suffix,rowing skills,PL
penmanship,penmanship,,manship,suffix,calligraphy,SG
penmanships,penmanships,,manship,suffix,calligraphies,PL
salesmanship,salesmanship,,manship,suffix,selling skill,SG
salesmanships,salesmanships,,manship,suffix,selling skills,PL
seamanship,seamanship,,manship,suffix,marine skill,SG
seamanships,seamanships,,manship,suffix,marine skills,PL
showmanship,showmanship,,manship,suffix,performing skill,SG
showmanships,showmanships,,manship,suffix,performing skills,PL
sportsmanship,sportsmanship,,manship,suffix,athletic skill,SG
sportsmanships,sportsmanships,,manship,suffix,athletic skills,PL
statesmanship,statesmanship,,manship,suffix,public management skill,SG
statesmanships,statesmanships,,manship,suffix,public management skills,PL
stockmanship,stockmanship,,manship,suffix,livestock raising skill,SG
stockmanships,stockmanships,,manship,suffix,livestock raising skills,PL
swordsmanship,swordsmanship,,manship,suffix,fencing skill,SG
swordsmanships,swordsmanships,,manship,suffix,fencing skills,PL
upmanship,upmanship,,manship,suffix,competitive behavior,SG
upmanships,upmanships,,manship,suffix,competitive behaviors,PL
workmanship,workmanship,,manship,suffix,workpersonship,SG
workmanships,workmanships,,manship,suffix,workpersonships,PL
ambulancewoman,ambulancewoman,1.0,woman,suffix,emergency medical technician,SG
ambulancewomen,ambulancewomen,,woman,suffix,emergency medical technicians,PL
anchorwoman,anchorwoman,19.0,woman,suffix,anchorperson,SG
anchorwomen,anchorwomen,,woman,suffix,anchorpeople,PL
anti-woman,antiwoman,1.0,woman,suffix,misogynist,SG
anti-women,anti-women,,woman,suffix,misogynists,PL
bogeywoman,bogeywoman,3.0,woman,suffix,monster,SG
bogeywomen,bogeywomen,,woman,suffix,monsters,PL
bondwoman,bondwoman,6.0,woman,suffix,slave,SG
bondwomen,bondwomen,,woman,suffix,slaves,PL
businesswoman,businesswoman,101.0,woman,suffix,businessperson,SG
businesswomen,businesswomen,,woman,suffix,businesspeople,PL
cavewoman,cavewoman,3.0,woman,suffix,caveperson,SG
cavewomen,cavewomen,,woman,suffix,cavepeople,PL
charwoman,charwoman,6.0,woman,suffix,cleaner,SG
charwomen,charwomen,,woman,suffix,cleaners,PL
congresswoman,congresswoman,163.0,woman,suffix,congressperson,SG
congresswomen,congresswomen,,woman,suffix,congresspeople,PL
craftswoman,craftswoman,2.0,woman,suffix,craftsoerson,SG
craftswomen,craftswomen,,woman,suffix,craftsoersons,PL
everywoman,everywoman,6.0,woman,suffix,ordinary person,SG
everywomen,everywomen,,woman,suffix,ordinary people,PL
fisherwoman,fisherwoman,5.0,woman,suffix,fisher,SG
fisherwomen,fisherwomen,,woman,suffix,fishers,PL
forewoman,forewoman,15.0,woman,suffix,foreperson,SG
forewomen,forewomen,,woman,suffix,forepeople,PL
frontierswoman,frontierswoman,6.0,woman,suffix,explorer,SG
frontierswomen,frontierswomen,,woman,suffix,explorers,PL
frontwoman,frontwoman,3.0,woman,suffix,frontperson,SG
frontwomen,frontwomen,,woman,suffix,frontpeople,PL
gentlewoman,gentlewoman,7.0,woman,suffix,refined person,SG
gentlewomen,gentlewomen,,woman,suffix,refined people,PL
hitwoman,hitwoman,2.0,woman,suffix,assassin,SG
hitwomen,hitwomen,,woman,suffix,assassins,PL
horsewoman,horsewoman,1.0,woman,suffix,equestrian,SG
horsewomen,horsewomen,,woman,suffix,equestrians,PL
madwoman,madwoman,6.0,woman,suffix,maniac,SG
madwomen,madwomen,,woman,suffix,maniacs,PL
man-woman,manwoman,2.0,woman,suffix,masculine person,SG
man-women,man-women,,woman,suffix,masculine people,PL
markswoman,markswoman,1.0,woman,suffix,sharpshooter,SG
markswomen,markswomen,,woman,suffix,sharpshooters,PL
newswoman,newswoman,4.0,woman,suffix,reporter,SG
newswomen,newswomen,,woman,suffix,reporters,PL
noblewoman,noblewoman,6.0,woman,suffix,noble person,SG
noblewomen,noblewomen,,woman,suffix,noble people,PL
policewoman,policewoman,46.0,woman,suffix,police officer,SG
policewomen,policewomen,,woman,suffix,police officers,PL
selectwoman,selectwoman,1.0,woman,suffix,member of the board,SG
selectwomen,selectwomen,,woman,suffix,members of the board,PL
servicewoman,servicewoman,3.0,woman,suffix,service member,SG
servicewomen,servicewomen,,woman,suffix,service members,PL
spokeswoman,spokeswoman,5731.0,woman,suffix,spokesperson,SG
spokeswomen,spokeswomen,,woman,suffix,spokespeople,PL
spokewoman,spokewoman,6.0,woman,suffix,spokeperson,SG
spokewomen,spokewomen,,woman,suffix,spokepeople,PL
sportswoman,sportswoman,1.0,woman,suffix,athlete,SG
sportswomen,sportswomen,,woman,suffix,athletes,PL
stateswoman,stateswoman,2.0,woman,suffix,statesperson,SG
stateswomen,stateswomen,,woman,suffix,statespeople,PL
swordswoman,swordswoman,1.0,woman,suffix,fencer,SG
swordswomen,swordswomen,,woman,suffix,fencers,PL
tribeswoman,tribeswoman,1.0,woman,suffix,tribesperson,SG
tribeswomen,tribeswomen,,woman,suffix,tribespeople,PL
washerwoman,washerwoman,2.0,woman,suffix,washer,SG
washerwomen,washerwomen,,woman,suffix,washers,PL
womanism,womanism,11.0,woman,prefix,feminism,SG
womanisms,womanisms,,woman,prefix,feminisms,PL
womanist,womanist,9.0,woman,prefix,feminist,SG
womanists,womanists,,woman,prefix,feminists,PL
womankind,womankind,53.0,woman,prefix,humankind,SG
womankinds,womankinds,,woman,prefix,humankinds,PL
womanly,womanly,2.0,woman,prefix,feminine,SG
